3800ae80b1	ගිනි නිවන හමුදා රථ හයක්
380132398e	වන්දනා කරන ඉරියව්වක් බුදු දහමේ නැහැ
38016edb90	ආනයනය තහනම් කරනව කියලද
38018764b9	මේ අනුව මථුරා ශිල්ප ක්‍රමය
38018fa0f6	ක්‍රියාත්මක වන බවද සඳහන් වේ
3801cfa2d9	භික්ෂු සංඝයා අමතා දේශනා කර වදාළහ.
3801f8d48a	සැබවින්ම අගය කල යුතුයි.
38032d7837	උන්වහන්සේලා ගැන සිත පහදවා ගන්න
38035a1740	අකුසල් වැඞීම කුසල් පිරිහීම.
380396553f	චරිත සහෝ?
3803abae89	මඟ ඵල ලබා
3804140879	සිරිපාද වන්දනා සමය එලඹිලා.
38041681a4	ඉතින් අපිත් තාත්තා එක්ක එහේ පදිංචියට ගියා
38047dbfc1	එම ස්ථූපය පළමුවෙන්ම ගොඩ නඟා තිබේ.
3804b80933	රෙස්ට් හවුස් ගෙස්ට් හවුස් හෝටල්
380569dfcb	මේ ප්‍රශ්නය මතු කරන්නේ.
3805e16356	ඔක්කොම නරකයි
3806663678	මේ අවස්ථාවේදී සිත
3806840d9e	ඔබට මොනවද කියන්න පුළුවන්?
3806e9fb09	සමන්කුමාර ලියනගේ ස්වර්ණවාහිනිය වෙනුවෙන් කළ
38076de0af	එනිසා බුදුන් වහන්සේ දේශනා කරන්නේ
38078d6b0b	අපි සියලුදෙනාගේම සහයෝගය සහිතව
38080ffd49	බොහෝ දේවල් හෙළිදරව් කොට තිබේ
380813beed	කෙනෙකුට කතා කරන්න පුලුවන්
3808d4b65e	හරකෙක් කොයිද
3809307fa0	මෙය දරා ගත නොහැකිව
38096c017e	මිනිහෙක් මරනවද නැතිනම් රකිනවදකියන එක
380a909526	කාටත් වැදගත් දෙයක් ලැබෙයි
380aaa9c1a	ගන්න විදිහක් කියල දෙන්න
380ab93dd1	ඔන්න ගත්තා
380b1d819c	මුලින්ද සඳහන් කළ පරිදි
380b54b26c	මේ සුවිශේෂීි පුවත
380bd1f1d2	ඔරුවල බන්දු ද අප අතර නැත
380bf5d1f6	මේ හැර අන් සියලු අවස්ථා
380c0d2055	සර්වඥ ධාතූන් වහන්සේලා වැඩ හිඳිති
380c2a2e08	එම ජාතිය පරිහානියට නොයයි
380d6ce973	ඒක ලොකු දෙයක්.
380e158c49	චරිත දෙක ඉන්න දර්ශනයක්.
380ea3e575	බාප්පගෙ පුත බිල්ලට දීල
380fb2e6a9	ඒ ජනතාව නැවත පදිංචි කරවීමේ කටයුතු ආරම්භ කළා.
380fbd7e18	ඒවා විනාශ කරලා දාලා
38107d27cc	ඒත් හීං දාඩිය දාන්නෙ
3810808142	ජන ගායනා රටාවක් ඇදහිලි හා සම්බන්ධව
3810bfb380	මට හම්බ වෙච්ච එකම සමරු පොත.
3810d22468	එහිදී මිනිසා ගැහැණියව හංවඩු ගසන අතර
38113c8c5f	කාලෙකින් හරි හමන් කතාවක් කියලා එකක් කියෙව්වා
381207741a	නික්මයන මැදි විය ඉක්මවූ මිනිසෙකි.
