0000f47c22	මහවැලි ගඟට ගොස් ආපසු එන ගමනේදී
a90064d288	එය ඇද වී ඇතැයි කී
a900df76c2	ඉහත සඳහන් ආකාරයට නොවේ.
a90203ef82	ඒවා වෙනුවෙන් වෙහසි රහසිගතව
a902265ad5	කෑම ජලය වාසස්ථාන වාතය වැනි දෑ
a902409976	යළිත් ඇවිදින්නට පටන් ගැනීමය
a902899cca	ඉතින් එදා ඉදලා බෲස් කරන්නේ
a9029b05af	එවැනි ලිංගික තේරීම්
a902b1e730	පහත් තත්වෙට වැටෙන්නේ
a903e2c1d5	ධර්ම සාකච්ඡා කළ බව
a903f788c5	අතුරු මාර්ග බොහොමයක් හමුවේ.
a90419e203	එය සංවාද රූපයෙන්ම
a9044e788f	කලින්ම ප්‍රශ්න පත්‍රයට පිළිතුරු ලියා අවසන් කර ඇත
a904a5ab9a	කිසියම් අද්භූත දෙයක් දෙස බලා සිටීමයි
a905085d16	හිඟා කන එක තමයි කරන්නෙ
a9052575da	මේ විදිහට අපව දැනුවත් කරනවාට
a905d52485	කලින් අවසර ගන්න ඕන නැහැ.
a905f4e893	සාමවෙන්න කට්ටියම හෙමිහිට ෆිල්ම් එක බාගන්න.
a9062d7c13	මෙතනදී ලොකු හැඩයක් හිටින්න ලොකු බැස්මකට බට දැම්මේ.
a906ac9274	රුදුරු රකුසා නැවතත් ඔහු කරා පැමිණියේ ය
a906ec8a0e	එහි ආරක්ෂාවට යොදවනු ලැබ සිටියේ එම සේවාවෙනි
a906efbc8e	දේශනාව ඉවර වෙනකොට
a906f68684	පොත්පත්වල කොතෙක් තිබුණද
a9070d838a	ඊට පස්සේ වෙන්නේ උන්ට සල්ලි හොයන්න
a9078d5e4f	ඇබ්බැහි වන්නට ඇති.
a907aab11b	මාතෘ සහ ළමා සෞඛ්‍යයට
a907c8e4ec	ආගම ජාතිය වෙනුවෙන් කයිවාරු ගසන
a907d41310	ඉතිහාසයේ පීලි පැනීමකි
a907e88260	විතරයි ඇති වෙලා තියෙන්නේ.
a9086c7099	ඉන් ලද පන්නරය
a9091d25a2	මුහුදට සමාන්තරව පිහිටි මෙම ප්‍රදේශයෙන් සාම්ප්‍රදායික පාදයාත්‍රා වන්දනාකරුවන්ගේ ගමන්මග වැටී ඇත.
a9096a6ef0	මා පළමුවරට තරග කරන අවස්ථාවේදී
a90995b442	අපිව අතාරින්නැතුව
a90ad37ea8	එවිට සම්භාවනීය පුද්ගලයන්
a90bb354c9	ජීවිත කාලයක් ජීවත් වෙන සතෙක්
a90c961636	මේකේ නම විදියට යොදාගෙන තියෙන්නෙත්
a90cac7c5f	ගමන් බිමන් කරන නිසා.
a90d19df00	අද ප්‍රොෆෙෂනල් සමාජයටත්
a90d930763	ඔයාලගේ කාලය ඉවරවෙන්න පුලුවන්.
a90e0eb543	ප්‍රඥාව කරා ළඟා වන බවයි.
a90eb15629	සැකකරුවන් අත්අඩංගුවට ගන්න අසාමාන්‍ය කාලයක් ගියා.
a90eeb0bc9	පිස්සු බල්ලෙක් කාලයක්
a90eeea122	ලොකු පීප්පයක් ලෑස්ති කලා.
a90f7438ce	අද සිංහල සමාජයටම එල්ලවෙලා තියෙන
a90fd6a78d	අමාත්‍යවරයා විසින් නිකුත් කරන ලද
a90ff805ea	mushrooms photo
a90ffca911	පිල් දෙක පරීක්‍ෂා කරන අයුරු
a90ffcb425	ඊට පස්සේ අපි ඒකත් හිතට අරගෙන
a91052815f	ඉතිං කෙලවෙලා ගියත්
a910a0f041	ගේ කිට්ටුවට ගිහින් බස්සලා ආවා.
a91117ddd2	cool tamil
a9112abf1a	සිංහල උපසිරැසියක් නැති අඩුපාඩුව
a911fe0efe	ඒත් සමහර අය අපේ රටේ
a9123c75ab	මෙසේ වදාළහ.
a912df1281	ඔබලාගේ මහා සිංහල රාජ වංශ කතාවේ
a9135de21a	ඒත් ගලප්පත්තිට
a913728573	සත්වයකු හෝ පුද්ගලයකු නොවන්නේය.
a9139fa480	ගංවතුරට ගසා එන රොන් මඩ
a913e884aa	මෙහිලා ප්‍රධාන තැනක් ගනියි.
a914d07f1f	ටැක්ටික්ස් කියලා.
a91504f584	අසල තිබූ ටැප් එකකින් හොට ඇතුළු
a9152b8477	පෙරහර ගමන් කරනු ලබන්නේ
a915ed0415	පාප ලාමක අකුසල් බැහැර කරනවා නම්
a9166dd4d3	මැද දෙපසට මුළු දල්වා ගත් මකර හිස් දෙකකි
a9168944cd	ඒ වෙලාවලට එයාල හිතන්නෙ
a916965b45	login facebook
a9186f2369	අවබෝධ කරන සේක.
a9187a93d1	අපි බුද්ධ ආගමේ උනත්
a91893df33	අපේ හාමිනේගේ යාළු රොත්තක්
a919751c49	ඇඟේ කුණු ගාගන්න වැඩ කරන්න
a91b4dd35b	නිර්මාණය වෙත බැඳුණු ස්නේහය
a91bb6c11c	විධිමත් ක්‍රමවේදයක්
a91c1b8570	අත්තනායක හේරත් තම දේශණයේ දී
a91c68615f	ඒ ජාතීන් එකිනෙකා අතර කිසි නෑකමක් නැති විරසක රටකි
a91cc7ae03	පිළිගැන්වීම සිදුකෙරේ.
a91de7ba0d	කාටවත් කරදරයක් නැතිව ජීවත්වන චරිතයක්.
a91e778c13	උචිත විය යුතුයි වර නැගීම.
a91f6572ac	අනෙකුන්ට විරුද්ධව චෝදනා ඉදිරිපත් කර
a91f752bbb	ඔයා ඔය ලිපි ඔක්කොම
a91fb4cec5	මෙයා ගැන කලකිරිලා.
a921235a36	අක්ක කෙනෙක් එක්ක තමයි
a921af4eec	අදාල නැති විකාර දෙඩෙව්වා.
